address_full,major_city,state,lat,lon,block_group,collection_datetime,provider,price,speed_down,speed_up,speed_unit,technology,package,fastest_speed_down,fastest_speed_price,speed_down_bins,redlining_grade,race_perc_non_white,race_quantile,median_household_income,income_dollars_below_median,income_level,ppl_per_sq_mile,n_providers,internet_perc_broadband,contract_provider
"2428 Laurel St New Orleans, LA 70130",new orleans,LA,29.9258993,-90.0785935,220710088001,1650529924,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2430 Constance St New Orleans, LA 70130",new orleans,LA,29.9267301,-90.0792157,220710088001,1650529894,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2516 Laurel St New Orleans, LA 70130",new orleans,LA,29.9256003,-90.0791398,220710088001,1650529873,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2620 Laurel St New Orleans, LA 70130",new orleans,LA,29.9250876,-90.0800443,220710088001,1650529903,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2401 Constance St New Orleans, LA 70130",new orleans,LA,29.9272367,-90.0787506,220710088001,1650529871,EarthLink,59.95,3.0,1.0,Mbps,Copper,Earthlink Internet 3Mx1M,3.0,59.95,Slow (<25 Mbps),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2502 Laurel St New Orleans, LA 70130",new orleans,LA,29.9257538,-90.0788421,220710088001,1650529911,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2511 Laurel St New Orleans, LA 70130",new orleans,LA,29.9257928,-90.0791308,220710088001,1650529935,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2609 Laurel St New Orleans, LA 70130",new orleans,LA,29.9253729,-90.0798887,220710088001,1650529900,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"2630 Laurel St New Orleans, LA 70130",new orleans,LA,29.924994,-90.0802336,220710088001,1650529933,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),D,0.2849673202614379,more white,53750.0,-10492.0,Middle-Lower,6129.2674523880105,3.0,0.8885714285714286,AT&T
"3306 Bienville St New Orleans, LA 70119",new orleans,LA,29.9710084,-90.091706,220710050001,1650498813,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"214 N Genois St New Orleans, LA 70119",new orleans,LA,29.9726587,-90.0947012,220710050001,1650498897,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"3303 Bienville St New Orleans, LA 70119",new orleans,LA,29.971249,-90.0913538,220710050001,1650498818,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"317 N Rendon St New Orleans, LA 70119",new orleans,LA,29.971464,-90.091198,220710050001,1650498914,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"3525 Bienville St New Orleans, LA 70119",new orleans,LA,29.9736188,-90.0941812,220710050001,1650498817,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,1000.0,89.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"3340 Bienville St New Orleans, LA 70119",new orleans,LA,29.9714069,-90.0922943,220710050001,1650498859,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"3336 Bienville St New Orleans, LA 70119",new orleans,LA,29.9713497,-90.0922368,220710050001,1650498857,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"223 N Rendon St New Orleans, LA 70119",new orleans,LA,29.9708093,-90.0920192,220710050001,1650498813,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"3330 Bienville St New Orleans, LA 70119",new orleans,LA,29.9712892,-90.0921341,220710050001,1650498821,EarthLink,59.95,100.0,100.0,Mbps,Fiber,Earthlink Fiber 100Mx100M,5000.0,189.95,Fast (100-199),C,0.4757281553398058,more white,53056.0,-9798.0,Middle-Lower,1252.629914748197,3.0,0.8203125,AT&T
"8940 Tilford Rd New Orleans, LA 70127",new orleans,LA,30.0253328,-89.9831855,220710017362,1650529419,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5617 Norgate Dr New Orleans, LA 70127",new orleans,LA,30.0276448,-89.9846943,220710017362,1650529403,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5611 Edenboro Rd New Orleans, LA 70127",new orleans,LA,30.028403,-89.9831036,220710017362,1650529422,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5651 Hempstead Rd New Orleans, LA 70127",new orleans,LA,30.0275123,-89.9834598,220710017362,1650529448,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"9020 Lake Forest Blvd New Orleans, LA 70127",new orleans,LA,30.0284095,-89.984775,220710017362,1650529448,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"9130 Lake Forest Blvd New Orleans, LA 70127",new orleans,LA,30.0285697,-89.9836621,220710017362,1650529434,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"8900 Lake Forest Blvd New Orleans, LA 70127",new orleans,LA,30.0282159,-89.9859981,220710017362,1650529421,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5647 Hempstead Rd New Orleans, LA 70127",new orleans,LA,30.027491,-89.9836139,220710017362,1650529466,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5321 Norgate Dr New Orleans, LA 70127",new orleans,LA,30.0264851,-89.9853102,220710017362,1650529420,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5628 Norgate Dr New Orleans, LA 70127",new orleans,LA,30.0281433,-89.9843438,220710017362,1650529473,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"31 Christy Ln New Orleans, LA 70127",new orleans,LA,30.0264934,-89.9835491,220710017362,1650529473,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5310 Glouster Rd New Orleans, LA 70127",new orleans,LA,30.0264325,-89.98488,220710017362,1650529420,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"8830 Tilford Rd New Orleans, LA 70127",new orleans,LA,30.0252828,-89.9841525,220710017362,1650529422,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5441 Edenboro Rd New Orleans, LA 70127",new orleans,LA,30.0272918,-89.9824441,220710017362,1650529442,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5629 Norgate Dr New Orleans, LA 70127",new orleans,LA,30.0276939,-89.9843829,220710017362,1650529420,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"9141 Dwyer Rd New Orleans, LA 70127",new orleans,LA,30.0250904,-89.9815562,220710017362,1650529478,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"8840 Lake Forest Blvd New Orleans, LA 70127",new orleans,LA,30.0281879,-89.9861748,220710017362,1650529448,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5615 Hempstead Rd New Orleans, LA 70127",new orleans,LA,30.0273478,-89.9845514,220710017362,1650529435,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"9211 Dwyer Rd New Orleans, LA 70127",new orleans,LA,30.025109,-89.9812199,220710017362,1650529464,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5221 Edenboro Rd New Orleans, LA 70127",new orleans,LA,30.0261275,-89.9817604,220710017362,1650529465,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5210 Norgate Dr New Orleans, LA 70127",new orleans,LA,30.0256589,-89.9853888,220710017362,1650529442,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"11 Christy Ln New Orleans, LA 70127",new orleans,LA,30.0267769,-89.983189,220710017362,1650529435,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"5311 Norgate Dr New Orleans, LA 70127",new orleans,LA,30.0263606,-89.9852378,220710017362,1650529467,EarthLink,59.95,18.0,1.5,Mbps,Fiber Based,Earthlink Internet 18Mx1.5M,18.0,59.95,Slow (<25 Mbps),,0.9946666666666668,least white,24577.0,18681.0,Low,1061.8035748330844,3.0,0.6566371681415929,AT&T
"13653 N Nemours St New Orleans, LA 70129",new orleans,LA,30.0412256,-89.9254923,220710017492,1650535341,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5127 Cannes St New Orleans, LA 70129",new orleans,LA,30.0402417,-89.9237676,220710017492,1650535200,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5120 E Lemans St New Orleans, LA 70129",new orleans,LA,30.0408451,-89.9225985,220710017492,1650535267,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5145 E Lemans St New Orleans, LA 70129",new orleans,LA,30.0415179,-89.922104,220710017492,1650535366,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5027 Michoud Blvd New Orleans, LA 70129",new orleans,LA,30.0377351,-89.9296798,220710017492,1650535198,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13712 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0420817,-89.9241703,220710017492,1650535367,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13613 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0414216,-89.9267873,220710017492,1650535336,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13651 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0418185,-89.9260402,220710017492,1650535351,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5258 Revel St New Orleans, LA 70129",new orleans,LA,30.0402544,-89.9295812,220710017492,1650535350,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13434 Granville St New Orleans, LA 70129",new orleans,LA,30.0381664,-89.9276222,220710017492,1650535330,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13736 Granville St New Orleans, LA 70129",new orleans,LA,30.0395874,-89.9229236,220710017492,1650535264,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5118 Revel St New Orleans, LA 70129",new orleans,LA,30.0387535,-89.929432,220710017492,1650535293,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13626 Granville St New Orleans, LA 70129",new orleans,LA,30.0390104,-89.9248429,220710017492,1650535206,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13535 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0412232,-89.9273264,220710017492,1650535344,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13512 Granville St New Orleans, LA 70129",new orleans,LA,30.0384649,-89.9266351,220710017492,1650535305,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5026 Revel St New Orleans, LA 70129",new orleans,LA,30.0382576,-89.9293828,220710017492,1650535236,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13351 Dwyer Blvd New Orleans, LA 70129",new orleans,LA,30.0375916,-89.9284822,220710017492,1650535279,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13628 Granville St New Orleans, LA 70129",new orleans,LA,30.0390104,-89.9248429,220710017492,1650535237,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13636 Granville St New Orleans, LA 70129",new orleans,LA,30.0390648,-89.9246635,220710017492,1650535268,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13629 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0415793,-89.9264656,220710017492,1650535267,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5021 E Lemans St New Orleans, LA 70129",new orleans,LA,30.0399867,-89.9219538,220710017492,1650535213,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5219 E Lemans St New Orleans, LA 70129",new orleans,LA,30.0420253,-89.9224444,220710017492,1650535226,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13502 N Lemans St New Orleans, LA 70129",new orleans,LA,30.040597,-89.9277417,220710017492,1650535205,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13318 Granville St New Orleans, LA 70129",new orleans,LA,30.0378722,-89.9285956,220710017492,1650535257,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13426 Granville St New Orleans, LA 70129",new orleans,LA,30.0381084,-89.9278135,220710017492,1650535244,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13627 Dwyer Blvd New Orleans, LA 70129",new orleans,LA,30.0387259,-89.9247287,220710017492,1650535229,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13527 Dwyer Blvd New Orleans, LA 70129",new orleans,LA,30.0382894,-89.9261626,220710017492,1650535366,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13682 N Lemans St New Orleans, LA 70129",new orleans,LA,30.04181,-89.9250733,220710017492,1650535234,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13619 N Nemours St New Orleans, LA 70129",new orleans,LA,30.040834,-89.9261645,220710017492,1650535337,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5137 E Nemours St New Orleans, LA 70129",new orleans,LA,30.040479,-89.9229257,220710017492,1650535336,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13653 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0418324,-89.9260151,220710017492,1650535205,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13401 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0409547,-89.9285808,220710017492,1650535336,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5134 E Nemours St New Orleans, LA 70129",new orleans,LA,30.0405339,-89.9234374,220710017492,1650535287,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13683 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0421919,-89.925331,220710017492,1650535365,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"5213 E Nemours St New Orleans, LA 70129",new orleans,LA,30.0408054,-89.9229453,220710017492,1650535267,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13420 Granville St New Orleans, LA 70129",new orleans,LA,30.0380503,-89.9280053,220710017492,1650535198,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13669 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0420199,-89.9256764,220710017492,1650535207,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13620 N Lemans St New Orleans, LA 70129",new orleans,LA,30.0411086,-89.9263103,220710017492,1650535371,EarthLink,59.95,6.0,1.0,Mbps,Copper,Earthlink Internet 6Mx1M,6.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
"13643 N Nemours St New Orleans, LA 70129",new orleans,LA,30.041122,-89.9256518,220710017492,1650535237,EarthLink,59.95,12.0,1.0,Mbps,Fiber Based,Earthlink Internet 12Mx1M,12.0,59.95,Slow (<25 Mbps),,0.9700822737471952,least white,34286.0,8972.0,Low,3752.3610124919664,3.0,0.7067039106145251,AT&T
